2021-02-14 13:05:54 startup archives unpack
2021-02-14 13:05:55 upgrade base-files:amd64 10.3+deb10u7 10.3+deb10u8
2021-02-14 13:05:55 status half-configured base-files:amd64 10.3+deb10u7
2021-02-14 13:05:55 status unpacked base-files:amd64 10.3+deb10u7
2021-02-14 13:05:55 status half-installed base-files:amd64 10.3+deb10u7
2021-02-14 13:05:55 status unpacked base-files:amd64 10.3+deb10u8
2021-02-14 13:05:55 startup packages configure
2021-02-14 13:05:55 configure base-files:amd64 10.3+deb10u8 <none>
2021-02-14 13:05:55 status unpacked base-files:amd64 10.3+deb10u8
2021-02-14 13:05:55 status half-configured base-files:amd64 10.3+deb10u8
2021-02-14 13:05:55 status installed base-files:amd64 10.3+deb10u8
2021-02-14 13:05:55 startup archives unpack
2021-02-14 13:05:55 upgrade libnss-systemd:amd64 241-7~deb10u5 241-7~deb10u6
2021-02-14 13:05:55 status triggers-pending libc-bin:amd64 2.28-10
2021-02-14 13:05:55 status half-configured libnss-systemd:amd64 241-7~deb10u5
2021-02-14 13:05:55 status unpacked libnss-systemd:amd64 241-7~deb10u5
2021-02-14 13:05:55 status half-installed libnss-systemd:amd64 241-7~deb10u5
2021-02-14 13:05:55 status unpacked libnss-systemd:amd64 241-7~deb10u6
2021-02-14 13:05:55 upgrade systemd-sysv:amd64 241-7~deb10u5 241-7~deb10u6
2021-02-14 13:05:55 status half-configured systemd-sysv:amd64 241-7~deb10u5
2021-02-14 13:05:55 status unpacked systemd-sysv:amd64 241-7~deb10u5
2021-02-14 13:05:55 status half-installed systemd-sysv:amd64 241-7~deb10u5
2021-02-14 13:05:56 status unpacked systemd-sysv:amd64 241-7~deb10u6
2021-02-14 13:05:56 upgrade libpam-systemd:amd64 241-7~deb10u5 241-7~deb10u6
2021-02-14 13:05:56 status half-configured libpam-systemd:amd64 241-7~deb10u5
2021-02-14 13:05:56 status unpacked libpam-systemd:amd64 241-7~deb10u5
2021-02-14 13:05:56 status half-installed libpam-systemd:amd64 241-7~deb10u5
2021-02-14 13:05:56 status unpacked libpam-systemd:amd64 241-7~deb10u6
2021-02-14 13:05:56 upgrade libgnutls28-dev:amd64 3.6.7-4+deb10u5 3.6.7-4+deb10u6
2021-02-14 13:05:56 status half-configured libgnutls28-dev:amd64 3.6.7-4+deb10u5
2021-02-14 13:05:56 status unpacked libgnutls28-dev:amd64 3.6.7-4+deb10u5
2021-02-14 13:05:56 status half-installed libgnutls28-dev:amd64 3.6.7-4+deb10u5
2021-02-14 13:05:56 status unpacked libgnutls28-dev:amd64 3.6.7-4+deb10u6
